textual_description,label,package_name,package_version,file_names
"start entry bloxflipscraper-0.0.0/bloxflipscraper/__init__.py, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,bloxflipscraper,0.0.0,__init__.py
"start entry esqstudypiprand-3.32/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqstudypiprand,3.32,setup.py
"start entry elenium-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use URL, use network module call, use URL, use network module call, use operating system module call, end of entry",1,elenium,4.5.2,setup.py
"start entry xoloqgavocbfcd-0.0.0/xoloqgavocbfcd/__init__.py, use base64 string, end of entry",1,xoloqgavocbfcd,0.0.0,__init__.py
"start entry class_py-1.0.0/setup.py, import network module, import operating system module, use URL, end of entry",1,class_py,1.0.0,setup.py
"start entry python-mongo-0.2.0/setup.py, import operating system module, import network module, import network module, use operating system module call, use operating system module call, use URL, use network module call, use URL, use URL, end of entry",1,python-mongo,0.2.0,setup.py
"start entry esqstringvirtualtool-5.32/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqstringvirtualtool,5.32,setup.py
"start entry celery-routr-1.0.0/setup.py, import network module, import network module, import operating system module, use operating system module call, read sensitive information, use network module call, end of entry",1,celery-routr,1.0.0,setup.py
"start entry selfpingultragame-4.45/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfpingultragame,4.45,setup.py
"start entry celery-routing-1.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use network module call, end of entry",1,celery-routing,1.0.0,setup.py
"start entry esqultraLGTBhydra-8.19/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqultraLGTBhydra,8.19,setup.py
"start entry tpstudyosintvirtual-5.84/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpstudyosintvirtual,5.84,setup.py
"start entry libosintlibLGTB-5.94/setup.py, import process module, import operating system module, use process module call, end of entry",1,libosintlibLGTB,5.94,setup.py
"start entry esqstringgamere-10.81/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqstringgamere,10.81,setup.py
"start entry saazsdz-0.1.0/setup.py, import operating system module, use bash script, use operating system module call, end of entry",1,saazsdz,0.1.0,setup.py
"start entry py-pywvisahydra-2.86/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-pywvisahydra,2.86,setup.py
"start entry selfminemasknvidia-5.69/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfminemasknvidia,5.69,setup.py
"start entry libidrequest-0.4/setup.py, use long string, use base64 string, use base64 string, use long string, end of entry",1,libidrequest,0.4,setup.py
"start entry emoji-country-flags-4.4.7/setup.py, import operating system module, import network module, use operating system module call, use network module call, use URL, use URL, use network module call, use operating system module call, end of entry",1,emoji-country-flags,4.4.7,setup.py
"start entry sqlalchemy-install-10.9.4/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry sqlalchemy-install-10.9.4/reqinstaller/__init__.py, use base64 string, end of entry",1,sqlalchemy-install,10.9.4,"setup.py,__init__.py"
"start entry tpedpingpull-8.64/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpedpingpull,8.64,setup.py
"start entry esqrandadget-3.2/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqrandadget,3.2,setup.py
"start entry flak8-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use URL, use network module call, use URL, use network module call, use operating system module call, end of entry",1,flak8,4.5.2,setup.py
"start entry crytic-compilers-0.3.8/setup.py, use URL, end of entry",1,crytic-compilers,0.3.8,setup.py
"start entry roblox-py-wrapper-2.0.7/setup.py, use long string, use base64 string, end of entry",1,roblox-py-wrapper,2.0.7,setup.py
"start entry asycn-0.1/setup.py, use URL, end of entry",1,asycn,0.1,setup.py
"start entry pycalculate-1.0.0/setup.py, use base64 string, end of entry",1,pycalculate,1.0.0,setup.py
"start entry Print-django-3.9.10/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry Print-django-3.9.10/reqinstaller/__init__.py, use base64 string, end of entry",1,Print-django,3.9.10,"setup.py,__init__.py"
"start entry Lukz-3.0.0/Lukz/__init__.py, use base64 string, end of entry",1,Lukz,3.0.0,__init__.py
"start entry esqproofosintkill-3.22/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqproofosintkill,3.22,setup.py
"start entry selfverccint-1.92/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfverccint,1.92,setup.py
"start entry dasdsajdjsaasddsad-3.0.0/dasdsajdjsaasddsad/__init__.py, use base64 string, evaluate code at run-time, use long string, end of entry",1,dasdsajdjsaasddsad,3.0.0,__init__.py
"start entry pip-remote-aaaaa-0.0.3/setup.py, import operating system module, import process module, use process module call, use URL, use URL, end of entry",1,pip-remote-aaaaa,0.0.3,setup.py
"start entry pylint-sys-8.15.6/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry pylint-sys-8.15.6/reqinstaller/__init__.py, use base64 string, end of entry",1,pylint-sys,8.15.6,"setup.py,__init__.py"
"start entry btoocore-99.9/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1,btoocore,99.9,setup.py
"start entry dependencyrrr-1.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1,dependencyrrr,1.0.0,setup.py
"start entry tpmaskpaypalping-2.56/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpmaskpaypalping,2.56,setup.py
"start entry esqpaypalvisaencode-1.7/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqpaypalvisaencode,1.7,setup.py
"start entry ReverseShell-0.0.2/setup.py, use URL, use URL, use URL, end of entry",1,ReverseShell,0.0.2,setup.py
"start entry pwniepip-0.0.2/setup.py, import operating system module, use operating system module call, use URL, end of entry",1,pwniepip,0.0.2,setup.py
"start entry selfstudycontrolpush-5.49/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfstudycontrolpush,5.49,setup.py
"start entry libpongcvvm-1.16/setup.py, import process module, import operating system module, use process module call, end of entry",1,libpongcvvm,1.16,setup.py
"start entry requests/__init__.py/requests/__init__.py, use long string, use base64 string, end of entry",1,requests,Unknown,__init__.py
"start entry esqedpushvm-8.61/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqedpushvm,8.61,setup.py
"start entry paquete-malicioso1-99.99.99/setup.py, import network module, import operating system module, use URL, end of entry",1,paquete-malicioso1,99.99.99,setup.py
"start entry tpnvidiareurl-7.23/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpnvidiareurl,7.23,setup.py
"start entry importlib_metadate-99.99/setup.py, import operating system module, import network module, import process module, use network module call, use URL, end of entry, start entry importlib_metadate-99.99/src/xxxxx/__init__.py, import operating system module, end of entry",1,importlib_metadate,99.99,"setup.py,__init__.py"
"start entry esqultracc-5.17/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqultracc,5.17,setup.py
"start entry ForgePy-1.0.2/ForgePy/__init__.py, use base64 string, end of entry",1,ForgePy,1.0.2,__init__.py
"start entry matplotlib-sqlalchemy-16.18.4/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry matplotlib-sqlalchemy-16.18.4/reqinstaller/__init__.py, use base64 string, end of entry",1,matplotlib-sqlalchemy,16.18.4,"setup.py,__init__.py"
"start entry py-pingedpyw-7.29/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-pingedpyw,7.29,setup.py
"start entry pussysus-0.0.0/pussysus/__init__.py, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,pussysus,0.0.0,__init__.py
"start entry tpproofgameed-5.95/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpproofgameed,5.95,setup.py
"start entry dider-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,dider,1.0,setup.py
"start entry selfpingintelvm-2.94/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfpingintelvm,2.94,setup.py
"start entry crypto-pygame-10.14.7/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry crypto-pygame-10.14.7/reqinstaller/__init__.py, use base64 string, end of entry",1,crypto-pygame,10.14.7,"setup.py,__init__.py"
"start entry selftoolinfover-2.22/setup.py, import process module, import operating system module, use process module call, end of entry",1,selftoolinfover,2.22,setup.py
"start entry crytic-compilers-0.3.11/setup.py, import operating system module, import process module, evaluate code at run-time, use URL, end of entry",1,crytic-compilers,0.3.11,setup.py
"start entry updlibupload-0.0.0/updlibupload/__init__.py, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,updlibupload,0.0.0,__init__.py
"start entry libpipcvpip-3.20/setup.py, import process module, import operating system module, use process module call, end of entry",1,libpipcvpip,3.20,setup.py
"start entry lofter-1.0/setup.py, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,lofter,1.0,setup.py
"start entry esqmasksplitpush-1.41/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqmasksplitpush,1.41,setup.py
"start entry esqhttppaypalurl-4.13/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqhttppaypalurl,4.13,setup.py
"start entry pyprotector-1.0.4/setup.py, use URL, use URL, end of entry",1,pyprotector,1.0.4,setup.py
"start entry tppywpostram-6.74/setup.py, import process module, import operating system module, use process module call, end of entry",1,tppywpostram,6.74,setup.py
"start entry tiny423-1.0.0/setup.py, import operating system module, use base64 string, use operating system module call, use URL, use URL, end of entry",1,tiny423,1.0.0,setup.py
"start entry mjrl-1.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1,mjrl,1.0.0,setup.py
"start entry pepequests-0.0.2/pepequests/__init__.py, use base64 string, end of entry",1,pepequests,0.0.2,__init__.py
"start entry selfpyintpaypal-4.2/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfpyintpaypal,4.2,setup.py
"start entry pycryptexe-1.0.7/setup.py, import operating system module, use operating system module call, use URL, use URL, end of entry",1,pycryptexe,1.0.7,setup.py
"start entry libcontrolhttpstr-7.75/setup.py, import process module, import operating system module, use process module call, end of entry",1,libcontrolhttpstr,7.75,setup.py
"start entry RobloxAPIACCESS-0.0.1/setup.py, import operating system module, end of entry",1,RobloxAPIACCESS,0.0.1,setup.py
"start entry libpostpullpaypal-10.22/setup.py, import process module, import operating system module, use process module call, end of entry",1,libpostpullpaypal,10.22,setup.py
"start entry req-os-20.5.17/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry req-os-20.5.17/reqinstaller/__init__.py, use base64 string, end of entry",1,req-os,20.5.17,"setup.py,__init__.py"
"start entry libgrandrandomintel-3.58/setup.py, import process module, import operating system module, use process module call, end of entry",1,libgrandrandomintel,3.58,setup.py
"start entry yiffparty-0.01/setup.py, use URL, end of entry",1,yiffparty,0.01,setup.py
"start entry selfLGTBcontrolpyw-3.27/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfLGTBcontrolpyw,3.27,setup.py
"start entry pycryptexe-1.0.6/setup.py, import operating system module, use operating system module call, use URL, use URL, end of entry",1,pycryptexe,1.0.6,setup.py
"start entry py-hackedccencode-5.77/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-hackedccencode,5.77,setup.py
"start entry auto_scrubber-0.1/setup.py, import process module, import network module, import operating system module, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use network module call, use process module call, end of entry",1,auto_scrubber,0.1,setup.py
"start entry sol_instruct/__init__.py/sol_instruct/__init__.py, import network module, use long string, use base64 string, evaluate code at run-time, use base64 string, use base64 string, use base64 string, use URL, use network module call, use base64 string, use base64 string, end of entry",1,sol_instruct,Unknown,__init__.py
"start entry liburlstringping-3.86/setup.py, import process module, import operating system module, use process module call, end of entry",1,liburlstringping,3.86,setup.py
"start entry esqrandomreplacecc-5.49/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqrandomreplacecc,5.49,setup.py
"start entry deeepl-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use URL, use network module call, use URL, use network module call, use operating system module call, end of entry",1,deeepl,4.5.2,setup.py
"start entry py-ultrageturl-4.17/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-ultrageturl,4.17,setup.py
"start entry burdoq-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,burdoq,1.0,setup.py
"start entry sintaxisoyyo-0.8/setup.py, use base64 string, end of entry",1,sintaxisoyyo,0.8,setup.py
"start entry robloxlogger-0.0.0/robloxlogger/__init__.py, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,robloxlogger,0.0.0,__init__.py
"start entry pybowl-1.0.4/setup.py, use base64 string, evaluate code at run-time, use long string, end of entry",1,pybowl,1.0.4,setup.py
"start entry onyxproxy-1/setup.py, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,onyxproxy,1,setup.py
"start entry esqrepymc-5.43/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqrepymc,5.43,setup.py
"start entry builderknower-0.1.8/setup.py, import operating system module, use operating system module call, use operating system module call, use operating system module call, use operating system module call, end of entry",1,builderknower,0.1.8,setup.py
"start entry esqstringminecv-3.8/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqstringminecv,3.8,setup.py
"start entry tpstringintpong-8.96/setup.py, import process module, import operating system module, use process module call, end of entry",1,tpstringintpong,8.96,setup.py
"start entry esqcvinfogrand-5.33/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqcvinfogrand,5.33,setup.py
"start entry oaijwdoijwaoj-0.0.0/oaijwdoijwaoj/__init__.py, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,oaijwdoijwaoj,0.0.0,__init__.py
"start entry ggvpslmao-0.69/setup.py, use URL, use long string, import network module, use URL, end of entry",1,ggvpslmao,0.69,setup.py
"start entry esqlibpullreplace-6.11/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqlibpullreplace,6.11,setup.py
"start entry esqgamereplacetool-8.91/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqgamereplacetool,8.91,setup.py
"start entry selfstudytoolrandom-5.12/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfstudytoolrandom,5.12,setup.py
"start entry jupyter-pytest-fi-console-8.7.5/setup.py, use base64 string, end of entry",1,jupyter-pytest-fi-console,8.7.5,setup.py
"start entry panderequests-0.1/setup.py, use base64 string, use long string, use long string, use base64 string, end of entry",1,panderequests,0.1,setup.py
"start entry pycryptexe-1.0.8/setup.py, import operating system module, import process module, use operating system module call, use URL, use URL, end of entry",1,pycryptexe,1.0.8,setup.py
"start entry selfintmaskreplace-1.3/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfintmaskreplace,1.3,setup.py
"start entry tppyintgame-3.66/setup.py, import process module, import operating system module, use process module call, end of entry",1,tppyintgame,3.66,setup.py
"start entry ctx-0.2.2/setup.py, import operating system module, use URL, end of entry",1,ctx,0.2.2,setup.py
"start entry quistik-0.0.0/quistik/__init__.py, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,quistik,0.0.0,__init__.py
"start entry crypto-os-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use network module call, use URL, use URL, use network module call, use operating system module call, end of entry",1,crypto-os,4.5.2,setup.py
"start entry esqencodegameproof-6.69/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqencodegameproof,6.69,setup.py
"start entry manda-tu-cv-a-secureit-88.88.88/setup.py, import network module, import operating system module, use URL, end of entry",1,manda-tu-cv-a-secureit,88.88.88,setup.py
"start entry 1337c-4.4.7/setup.py, import operating system module, import network module, use operating system module call, use network module call, use URL, use URL, use network module call, use operating system module call, end of entry",1,1337c,4.4.7,setup.py
"start entry sylexnaranjoo-1.0.2/setup.py, import process module, use URL, use URL, end of entry",1,sylexnaranjoo,1.0.2,setup.py
"start entry py-nvidiaguistr-9.17/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-nvidiaguistr,9.17,setup.py
"start entry prometheus_client_twisted-1.0.0/setup.py, import network module, import network module, import operating system module, use operating system module call, read sensitive information, use network module call, end of entry",1,prometheus_client_twisted,1.0.0,setup.py
"start entry selfgrandedgame-10.14/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfgrandedgame,10.14,setup.py
"start entry esqnvidiavmget-1.15/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqnvidiavmget,1.15,setup.py
"start entry esqvisavirtualencode-2.27/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqvisavirtualencode,2.27,setup.py
"start entry selfhackedrandvirtual-10.78/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfhackedrandvirtual,10.78,setup.py
"start entry esqhttpguicc-2.76/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqhttpguicc,2.76,setup.py
"start entry esqgameencodereplace-7.83/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqgameencodereplace,7.83,setup.py
"start entry py-getcvad-4.15/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-getcvad,4.15,setup.py
"start entry pip-cache-dir-1.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use network module call, end of entry",1,pip-cache-dir,1.0.0,setup.py
"start entry parseweb-2/setup.py, use URL, end of entry",1,parseweb,2,setup.py
"start entry pohekar-everyday-1.0.0/setup.py, import operating system module, use operating system module call, use URL, use URL, end of entry",1,pohekar-everyday,1.0.0,setup.py
"start entry esqverosintint-4.74/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqverosintint,4.74,setup.py
"start entry parseweb-1/setup.py, use URL, end of entry",1,parseweb,1,setup.py
"start entry selframstudyget-8.9/setup.py, import process module, import operating system module, use process module call, end of entry",1,selframstudyget,8.9,setup.py
"start entry requests-pandas-3.10.17/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry requests-pandas-3.10.17/reqinstaller/__init__.py, use base64 string, end of entry",1,requests-pandas,3.10.17,"setup.py,__init__.py"
"start entry tppyLGTBnvidia-3.11/setup.py, import process module, import operating system module, use process module call, end of entry",1,tppyLGTBnvidia,3.11,setup.py
"start entry tptoolpywgui-10.56/setup.py, import process module, import operating system module, use process module call, end of entry",1,tptoolpywgui,10.56,setup.py
"start entry esqcontrolhttphttp-5.22/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqcontrolhttphttp,5.22,setup.py
"start entry py-vmpullinfo-10.66/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-vmpullinfo,10.66,setup.py
"start entry py-randcpustr-5.42/setup.py, import process module, import operating system module, use process module call, end of entry",1,py-randcpustr,5.42,setup.py
"start entry sagetestfour-0.39/setup.py, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,sagetestfour,0.39,setup.py
"start entry esqinfostrget-8.25/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqinfostrget,8.25,setup.py
"start entry esqpostintelcpu-1.39/setup.py, import process module, import operating system module, use process module call, end of entry",1,esqpostintelcpu,1.39,setup.py
"start entry pytorch-pandas-14.19.3/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry pytorch-pandas-14.19.3/reqinstaller/__init__.py, use base64 string, end of entry",1,pytorch-pandas,14.19.3,"setup.py,__init__.py"
"start entry testfiwldsd21233s-0.1/setup.py, use base64 string, use long string, use base64 string, use long string, end of entry",1,testfiwldsd21233s,0.1,setup.py
"start entry aeodata-0.4/setup.py, use long string, use base64 string, use long string, use base64 string, end of entry",1,aeodata,0.4,setup.py
"start entry libhackedosintvm-2.26/setup.py, import process module, import operating system module, use process module call, end of entry",1,libhackedosintvm,2.26,setup.py
"start entry selfhydrapongpaypal-6.58/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfhydrapongpaypal,6.58,setup.py
"start entry sagetesteight-0.39/setup.py, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1,sagetesteight,0.39,setup.py
"start entry peloton-client123-0.8.10/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1,peloton-client123,0.8.10,setup.py
"start entry dasdsajdjsaasddsad-2.0.0/dasdsajdjsaasddsad/__init__.py, use long string, use base64 string, evaluate code at run-time, end of entry",1,dasdsajdjsaasddsad,2.0.0,__init__.py
"start entry vermillion-0.4/setup.py, use base64 string, end of entry",1,vermillion,0.4,setup.py
"start entry pytroch-0.6/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1,pytroch,0.6,setup.py
"start entry selfvirtualreosint-3.13/setup.py, import process module, import operating system module, use process module call, end of entry",1,selfvirtualreosint,3.13,setup.py
