textual_description,label
"start entry dekugay-1.0/setup.py, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry httplib2-0.20.4/setup.py, import operating system module, use URL, end of entry",0
"start entry pymorphy2-dicts-ru-2.4.417127.4579844/setup.py, use URL, end of entry",0
"start entry db-contrib-tool-0.4.6/setup.py, use URL, end of entry",0
"start entry crispy-bootstrap5-0.6/setup.py, import operating system module, use URL, use URL, use URL, use URL, end of entry",0
"start entry captcha-py-1.0/setup.py, use base64 string, use long string, use base64 string, use long string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry dider-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry webassets-2.0/setup.py, import operating system module, evaluate code at run-time, use URL, end of entry",0
"start entry AlexaPy-1.26.1/setup.py, use URL, end of entry",0
"start entry testdufou-2/setup.py, use URL, end of entry",1
"start entry backports.csv-1.0.7/setup.py, use URL, end of entry",0
"start entry google-gax-0.16.0/setup.py, use URL, end of entry",0
"start entry pythonkafka-1.3.5/setup.py, import operating system module, import network module, use URL, evaluate code at run-time, use URL, end of entry",1
"start entry py-cpuintre-9.14/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry allennlp-2.10.0/setup.py, evaluate code at run-time, use URL, end of entry",0
"start entry pytorch_pretrained_bert-0.6.2/setup.py, use URL, end of entry",0
"start entry PyPrind-2.11.3/setup.py, use URL, end of entry",0
"start entry allennlp_models-2.10.0/setup.py, import operating system module, evaluate code at run-time, use operating system module call, use URL, end of entry",0
"start entry timeago-1.0.15/setup.py, use URL, end of entry",0
"start entry pyobjc-framework-GameplayKit-8.5/setup.py, import operating system module, end of entry",0
"start entry ppft-1.7.6.5/setup.py, import operating system module, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry libtoolcvgui-9.33/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry sherm-1.0/setup.py, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry PyContracts-1.8.12/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry esqurlencodead-9.76/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry stldecompose-0.0.5/setup.py, import operating system module, use URL, evaluate code at run-time, use operating system module call, use operating system module call, end of entry",0
"start entry sqlalchemy-databricks-0.2.0/setup.py, use URL, end of entry",0
"start entry random_user_agent-1.0.1/setup.py, import operating system module, use URL, end of entry",0
"start entry libpullvisapy-10.81/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry EditorConfig-0.12.3/setup.py, import operating system module, evaluate code at run-time, use URL, end of entry",0
"start entry nptyping-2.2.0/setup.py, evaluate code at run-time, end of entry",0
"start entry django-stubs-ext-0.5.0/setup.py, use URL, use URL, end of entry",0
"start entry tryconf-0.1/setup.py, use long string, use base64 string, use long string, use base64 string, end of entry",1
"start entry discodr-0.1/setup.py, use URL, end of entry",1
"start entry libmccraftpush-8.51/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry qtconsole-5.3.1/setup.py, import operating system module, evaluate code at run-time, use URL, end of entry",0
"start entry pynvml-11.4.1/setup.py, use URL, end of entry",0
"start entry boogishell5-0.1.0/setup.py, import operating system module, use operating system module call, use bash script, end of entry",1
"start entry splinter-0.18.1/setup.py, import operating system module, evaluate code at run-time, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry paquete-malicioso1-99.99.99/setup.py, import network module, import operating system module, use URL, end of entry",1
"start entry django-crontab-0.7.1/setup.py, use URL, end of entry",0
"start entry grpc-stubs-1.24.11/setup.py, import operating system module, use URL, end of entry",0
"start entry agate-1.6.3/setup.py, use URL, end of entry",0
"start entry syslog-udp-1.0.0/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use network module call, end of entry",1
"start entry msal-1.18.0/setup.py, use base64 string, end of entry",0
"start entry py-studytoolping-8.22/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry mkdocs-material-8.4.0/setup.py, use URL, end of entry",0
"start entry moneyprinter-api-0.1.0/setup.py, import process module, end of entry",1
"start entry test23414234234-0.6/setup.py, use base64 string, use long string, use long string, use base64 string, end of entry",1
"start entry libvirtualsplitstring-2.35/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry pyluach-2.0.0/setup.py, use URL, use URL, end of entry",0
"start entry testpipxyz4-1.0.0/setup.py, import process module, import network module, use URL, use network module call, end of entry",1
"start entry shermed-1.0/setup.py, use long string, use base64 string, use base64 string, use long string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry sseclient-py-1.7.2/setup.py, use URL, end of entry",0
"start entry airduq-1.0/setup.py, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry matrixprofile-1.1.10/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry delta-0.4.2/setup.py, use URL, use URL, end of entry",0
"start entry scikit-plot-0.3.7/setup.py, import operating system module, use URL, end of entry",0
"start entry feast-0.23.1/setup.py, import operating system module, import file system module, import file system module, import process module, use URL, read sensitive information, use operating system module call, read sensitive information, read sensitive information, read sensitive information, read sensitive information, use operating system module call, read sensitive information, end of entry",0
"start entry extras-1.0.0/setup.py, use URL, end of entry",0
"start entry airflow_dbt-0.4.0/setup.py, import operating system module, evaluate code at run-time, use operating system module call, use operating system module call, use operating system module call, use operating system module call, use URL, end of entry",0
"start entry qiskit-ibmq-provider-0.19.2/setup.py, import operating system module, use URL, use URL, use URL, use URL, end of entry",0
"start entry circleci-1.2.2/setup.py, import operating system module, read sensitive information, use URL, end of entry",0
"start entry pytest-subtests-0.8.0/setup.py, use URL, end of entry",0
"start entry ulibasset-0.0.0/ulibasset/__init__.py, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry tpmcpongpaypal-6.87/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry wcwidth-0.2.5/setup.py, import operating system module, import process module, use process module call, use URL, end of entry",0
"start entry duckdb-0.4.0/setup.py, import operating system module, read sensitive information, use operating system module call, use operating system module call, use operating system module call, use operating system module call, read sensitive information, use URL, end of entry",0
"start entry dask-ml-2022.5.27/setup.py, import operating system module, use URL, end of entry",0
"start entry mayalbl-4/setup.py, use URL, end of entry",1
"start entry xolotabiamysla-0.0.0/xolotabiamysla/__init__.py, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry grpcio-opentracing-1.1.4/setup.py, import operating system module, use operating system module call, read sensitive information, end of entry",0
"start entry conjure-python-client-2.1.0/setup.py, import process module, evaluate code at run-time, use URL, end of entry",0
"start entry sphinxcontrib-versioning-2.2.1/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry ibm-cos-sdk-core-2.12.0/setup.py, use URL, end of entry",0
"start entry pyre2-0.3.6/setup.py, import operating system module, import process module, use operating system module call, use operating system module call, use operating system module call, use operating system module call, use operating system module call, end of entry",0
"start entry pickle5-0.0.12/setup.py, import operating system module, use URL, end of entry",0
"start entry salamus6-0.1.4/setup.py, use URL, end of entry",1
"start entry libpipcontrolcandy-10.30/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry aenum-3.1.11/setup.py, use URL, import operating system module, end of entry",0
"start entry chiavdf-1.0.7/setup.py, import operating system module, import file system module, import process module, read sensitive information, read sensitive information, use operating system module call, use URL, use URL, end of entry",0
"start entry opentelemetry-instrumentation-sqlite3-0.33b0/setup.py, import operating system module, evaluate code at run-time, evaluate code at run-time, end of entry",0
"start entry scavenger-py-1.0.2/setup.py, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1
"start entry flake8-useless-assert-0.4.3/setup.py, use URL, end of entry",0
"start entry nornir-3.3.0/setup.py, use URL, end of entry",0
"start entry more-executors-2.11.1/setup.py, use URL, use URL, use URL, end of entry",0
"start entry asyncache-0.1.1/setup.py, use URL, end of entry",0
"start entry diaossama-test1-0.0.1/setup.py, import operating system module, import process module, import network module, import network module, import network module, import operating system module, read sensitive information, use operating system module call, use URL, use network module call, end of entry",1
"start entry cerberus-python-client-2.5.3/setup.py, use URL, end of entry",0
"start entry PyExecJS-1.5.1/setup.py, use URL, end of entry",0
"start entry tpnvidiaintelpush-10.44/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry bytedtrace-0.1.4/setup.py, import operating system module, import network module, import network module, use URL, use network module call, use operating system module call, read sensitive information, end of entry",1
"start entry pefile-2022.5.30/setup.py, import operating system module, use operating system module call, use operating system module call, use URL, use URL, end of entry",0
"start entry youhans-1.0.0/setup.py, import operating system module, use operating system module call, use URL, use URL, end of entry",1
"start entry aiokafka-0.7.2/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry tinyad1-1.0.0/setup.py, import operating system module, use operating system module call, use base64 string, use URL, use URL, end of entry",1
"start entry homoglyphs-2.0.4/setup.py, use URL, end of entry",0
"start entry exit_codes-1.3.0/setup.py, import operating system module, use URL, end of entry",0
"start entry ratelimit-2.2.1/setup.py, use URL, end of entry",0
"start entry mando-0.7.1/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry google-cloud-appengine-logging-1.1.3/setup.py, import operating system module, use URL, end of entry",0
"start entry cffi-1.15.1/setup.py, import operating system module, import process module, use operating system module call, use process module call, use operating system module call, use operating system module call, use operating system module call, use operating system module call, use operating system module call, use URL, end of entry",0
"start entry geographiclib-2.0/setup.py, use URL, end of entry",0
"start entry Janome-0.4.2/setup.py, import file system module, import operating system module, use URL, end of entry",0
"start entry libcontrolhttpstr-7.75/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry sshpubkeys-3.3.1/setup.py, use URL, end of entry",0
"start entry jupytext-1.14.1/setup.py, use URL, end of entry",0
"start entry dbt-spark-1.2.0/setup.py, import operating system module, use URL, end of entry",0
"start entry cryptobalance-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use network module call, use URL, use URL, use network module call, use operating system module call, end of entry",1
"start entry py-cord-2.0.0/setup.py, import process module, use process module call, use process module call, use URL, use URL, use URL, use URL, end of entry",0
"start entry rasa-sdk-3.2.0/setup.py, use URL, end of entry",0
"start entry strictyaml-1.6.1/setup.py, import operating system module, use URL, end of entry",0
"start entry SpammingSynonyms-3.0.1/setup.py, import operating system module, import network module, import process module, use URL, use network module call, use URL, end of entry",1
"start entry spark-sklearn-0.3.0/setup.py, import operating system module, read sensitive information, use operating system module call, use URL, end of entry",0
"start entry iopath-0.1.10/setup.py, use URL, end of entry",0
"start entry py-libpipintel-8.77/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry squarify-0.4.3/setup.py, use URL, end of entry",0
"start entry pylink-square-0.14.2/setup.py, import operating system module, import file system module, import process module, use operating system module call, read sensitive information, end of entry",0
"start entry matplotlib-requests-16.12.4/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry matplotlib-requests-16.12.4/reqinstaller/__init__.py, use base64 string, end of entry",1
"start entry libressl-1.5.0/setup.py, import network module, import network module, import operating system module, use operating system module call, read sensitive information, use URL, use network module call, end of entry",1
"start entry pygtrie-2.5.0/setup.py, import operating system module, import file system module, import process module, use URL, end of entry",0
"start entry thriftpy2-0.4.14/setup.py, use URL, end of entry",0
"start entry pytest-benchmark-3.4.1/setup.py, use URL, use URL, use URL, use URL, end of entry",0
"start entry braintree-4.16.0/setup.py, use URL, end of entry",0
"start entry elementpath-3.0.2/setup.py, use URL, end of entry",0
"start entry importlib_metadate-99.99/setup.py, import operating system module, import network module, import process module, use network module call, use URL, end of entry, start entry importlib_metadate-99.99/src/xxxxx/__init__.py, import operating system module, end of entry",1
"start entry selfreplacetoolreplace-4.43/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry PyYMAL-1.0.0/setup.py, import network module, import operating system module, import network module, use operating system module call, use URL, use URL, use network module call, end of entry",1
"start entry newrelic-7.16.0.178/setup.py, import operating system module, use operating system module call, read sensitive information, use base64 string, use URL, use URL, use operating system module call, use operating system module call, end of entry",0
"start entry xoloeduccelifz/__init__.py/xoloeduccelifz/__init__.py, use base64 string, end of entry",1
"start entry responsibleai-0.20.0/setup.py, import operating system module, evaluate code at run-time, use URL, end of entry",0
"start entry arangodb-python-1.0.0/setup.py, import network module, import network module, import operating system module, use operating system module call, read sensitive information, use network module call, end of entry",1
"start entry PyMsgBox-1.0.9/setup.py, use URL, end of entry",0
"start entry opencv-contrib-python-headless-4.6.0.66/setup.py, import operating system module, use operating system module call, use URL, end of entry",0
"start entry dhawnz-1.0/setup.py, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry selfpingponggame-3.21/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry SQLAlchemy-1.4.40/setup.py, import operating system module, use operating system module call, use operating system module call, use operating system module call, end of entry",0
"start entry aiocontextvars-0.2.2/setup.py, use URL, end of entry",0
"start entry oxeru3-test-0.4/setup.py, import network module, import operating system module, import network module, use URL, end of entry",1
"start entry atomicwrites-1.4.1/setup.py, use URL, end of entry",0
"start entry dataclasses-0.8/setup.py, use URL, end of entry",0
"start entry elasticsearch-curator-5.8.4/setup.py, import operating system module, use operating system module call, use URL, use URL, use URL, use URL, end of entry",0
"start entry PyBluez-0.23/setup.py, import operating system module, read sensitive information, import process module, use operating system module call, read sensitive information, use URL, use URL, end of entry",0
"start entry cornac-1.14.2/setup.py, import operating system module, use operating system module call, use operating system module call, use base64 string, use base64 string, use URL, end of entry",0
"start entry libpeppipintel-2.18/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry install-pyyaml-1.19.12/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry install-pyyaml-1.19.12/reqinstaller/__init__.py, use base64 string, end of entry",1
"start entry pandas-profiling-3.2.0/setup.py, use URL, end of entry",0
"start entry azure-cosmosdb-nspkg-2.0.2/setup.py, use URL, end of entry",0
"start entry n1trobrdr-1.0/setup.py, use base64 string, use long string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry vermillion-0.4/setup.py, use base64 string, end of entry",1
"start entry ply-3.11/setup.py, use URL, end of entry",0
"start entry recordlinkage-0.15/setup.py, use URL, end of entry",0
"start entry ghapi-1.0.0/setup.py, use URL, end of entry",0
"start entry progress-1.6/setup.py, use URL, end of entry",0
"start entry xoloctwuaywkna-0.0.0/xoloctwuaywkna/__init__.py, use base64 string, end of entry",1
"start entry libidreq-0.1/setup.py, use long string, use base64 string, use long string, use base64 string, end of entry",1
"start entry google-cloud-retail-1.8.0/setup.py, import operating system module, use URL, end of entry",0
"start entry pretty_html_table-0.9.16/setup.py, use URL, end of entry",0
"start entry setuptools_scm-7.0.5/setup.py, import operating system module, end of entry",0
"start entry strawberry-graphql-0.125.0/setup.py, use URL, end of entry",0
"start entry fastdiff-0.3.0/setup.py, use URL, end of entry",0
"start entry proxy-protocol-0.8.1/setup.py, use URL, end of entry",0
"start entry pytest-tornado-0.8.1/setup.py, import operating system module, use URL, end of entry",0
"start entry py-pushpullsuper-6.33/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry sentencepiece-0.1.97/setup.py, import process module, import operating system module, evaluate code at run-time, use URL, end of entry",0
"start entry autograd-gamma-0.5.0/setup.py, use URL, end of entry",0
"start entry parsedatetime-2.6/setup.py, import operating system module, end of entry",0
"start entry hiredis-2.0.0/setup.py, import operating system module, use URL, end of entry",0
"start entry pytypier-1.0.2/setup.py, import operating system module, use base64 string, evaluate code at run-time, use long string, end of entry",1
"start entry opencv-python-4.6.0.66/setup.py, import operating system module, use operating system module call, use URL, end of entry",0
"start entry pytest_docker_tools-3.1.3/setup.py, use URL, end of entry",0
"start entry django-rest-framework-0.1.0/setup.py, use URL, end of entry",0
"start entry queuelib-1.6.2/setup.py, use URL, end of entry",0
"start entry flasgger-0.9.5/setup.py, use URL, end of entry",0
"start entry sanic-routing-22.3.0/setup.py, import operating system module, use URL, end of entry",0
"start entry django-sekizai-4.0.0/setup.py, use URL, end of entry",0
"start entry pyobjc-framework-AVFoundation-8.5/setup.py, import operating system module, end of entry",0
"start entry bidict-0.22.0/setup.py, evaluate code at run-time, end of entry",0
"start entry pyfcm-1.5.4/setup.py, import operating system module, evaluate code at run-time, use operating system module call, use operating system module call, use operating system module call, use operating system module call, use operating system module call, end of entry",0
"start entry sphinxcontrib-httpdomain-1.8.0/setup.py, use URL, use URL, end of entry",0
"start entry warcio-1.7.4/setup.py, import operating system module, use URL, end of entry",0
"start entry starlette_context-0.3.4/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry py-zabbix-1.1.7/setup.py, use URL, end of entry",0
"start entry dodgy-0.2.1/setup.py, use URL, end of entry",0
"start entry fancycompleter-0.9.1/setup.py, use URL, end of entry",0
"start entry neuralprophet-0.3.2/setup.py, import operating system module, use URL, end of entry",0
"start entry ferned-1.0/setup.py, use base64 string, use long string, use base64 string, use long string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use long string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, use base64 string, end of entry",1
"start entry fuzzywuzy-4.5.2/setup.py, import operating system module, import network module, use operating system module call, use URL, use network module call, use URL, use network module call, use operating system module call, end of entry",1
"start entry libverpullpong-9.71/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry ldap3-2.9.1/setup.py, import operating system module, import file system module, end of entry",0
"start entry selfcvpushpull-2.62/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry segtok-1.5.11/setup.py, use URL, end of entry",0
"start entry property-manager-3.0/setup.py, import operating system module, use URL, end of entry",0
"start entry icecream-2.1.3/setup.py, import operating system module, evaluate code at run-time, use operating system module call, use operating system module call, end of entry",0
"start entry django-ratelimit-3.0.1/setup.py, use URL, end of entry",0
"start entry esqpeprandpaypal-5.38/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry python-memcached-1.59/setup.py, use URL, use URL, end of entry",0
"start entry PyFunctional-1.4.3/setup.py, use URL, end of entry",0
"start entry esptool-4.2.1/setup.py, import operating system module, use URL, use URL, use URL, use URL, end of entry",0
"start entry radon-5.1.0/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry Print-pip-13.9.3/reqinstaller/__init__.py, use base64 string, end of entry, start entry Print-pip-13.9.3/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry",1
"start entry pybars3-0.9.7/setup.py, use URL, end of entry",0
"start entry xoloyfczocogra-0.0.0/xololxtsyaemsz/__init__.py, use long string, use base64 string, end of entry",1
"start entry pylint-beautifulsoup-17.10.12/setup.py, import operating system module, import network module, import process module, evaluate code at run-time, end of entry, start entry pylint-beautifulsoup-17.10.12/reqinstaller/__init__.py, use base64 string, end of entry",1
"start entry misaka-2.1.1/setup.py, import operating system module, import file system module, import process module, use URL, end of entry",0
"start entry ibm-cos-sdk-2.12.0/setup.py, import operating system module, use URL, use URL, use URL, end of entry",0
"start entry tbats-1.1.0/setup.py, import process module, use URL, end of entry",0
"start entry esqgameloadrandom-4.81/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry xolodevcceglww-0.0.0/xolodevcceglww/__init__.py, use base64 string, end of entry",1
"start entry bitarray-2.6.0/setup.py, use URL, end of entry",0
"start entry esqgamemineping-1.6/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry django_csp-3.7/setup.py, import operating system module, use operating system module call, use operating system module call, use URL, end of entry",0
"start entry facebook-sdk-3.1.0/setup.py, evaluate code at run-time, use URL, end of entry",0
"start entry typing-compat-0.1.0/setup.py, import operating system module, end of entry",0
"start entry types-paramiko-2.11.3/setup.py, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry aws-logging-handlers-2.0.5/setup.py, import operating system module, use URL, use URL, end of entry",0
"start entry h2-4.1.0/setup.py, import operating system module, use URL, end of entry",0
"start entry anyascii-0.3.1/setup.py, use URL, end of entry",0
"start entry bitcoin-1.1.42/setup.py, use URL, end of entry",0
"start entry aiosqlite-0.17.0/setup.py, use URL, end of entry",0
"start entry pathlib-1.0.1/setup.py, use URL, use URL, end of entry",0
"start entry kazurator-0.2.0/setup.py, import operating system module, use URL, end of entry",0
"start entry types-python-dateutil-2.8.19/setup.py, use URL, use URL, use URL, use URL, use URL, end of entry",0
"start entry plone.app.layout-3.5.1/setup.py, use URL, end of entry",0
"start entry tpvmcraftmine-6.68/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry jwcrypto-1.3.1/setup.py, import operating system module, use URL, end of entry",0
"start entry django-compat-1.0.15/setup.py, import operating system module, use URL, end of entry",0
"start entry qudida-0.0.4/setup.py, import operating system module, use URL, evaluate code at run-time, end of entry",0
"start entry reportgenpub-0.1/setup.py, import process module, import network module, import operating system module, use base64 string, use base64 string, use long string, use long string, use base64 string, use network module call, use process module call, end of entry",1
"start entry vulture-2.5/setup.py, import file system module, use URL, end of entry",0
"start entry text-unidecode-1.3/setup.py, use URL, end of entry",0
"start entry intelhex-2.3.0/setup.py, use URL, end of entry",0
"start entry py-piposintpaypal-7.44/setup.py, import process module, import operating system module, use process module call, end of entry",1
"start entry pyobjc-framework-NotificationCenter-8.5/setup.py, import operating system module, end of entry",0
"start entry pcodedmp-1.2.6/setup.py, import operating system module, end of entry",0
"start entry databricks-cli-0.17.1/setup.py, import operating system module, use URL, end of entry",0
"start entry blinker-1.5/setup.py, use URL, use URL, end of entry",0
"start entry singer-python-5.12.2/setup.py, import process module, use URL, end of entry",0
"start entry basicsr-1.4.1/setup.py, import operating system module, import process module, use operating system module call, use process module call, evaluate code at run-time, read sensitive information, read sensitive information, use URL, end of entry",0
"start entry mailchecker-5.0.0/setup.py, use URL, end of entry",0
